Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,S071-004,LMG_23826,25MDFML003374-2A,MOD1_WNTSBCO4,10_6_2001,716,CS-42,CFSAN145334,CRZK,bq,CFSAN080751,1011-04,CFSAN142785,CS6162,CH43,CH65,CH44,CFSAN141446,CH84,CFSAN080747,25MDFML003369-4A,CS291,KubGAU_B-268,CFSAN129441,cro810A3,cro1489B1,HA18074,CFSAN141625,25MDFML004503-1A,25MDFML003369-3A,CH45,SC16,MOD1_LR736,CE52,CFSAN140976,CFSAN138565,CFSAN135223,S054-001,S053-001
ydcS,ydcS,Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein,39,39,1,1,6644,,,,1146,1146,1146,COBAIANA_01080,NCDGGIKE_02058,KEJBGJNJ_03842,JELDIHCN_02489,PBHEHNGA_01858,DALMCLCA_02743,ONIJJAOC_00098,OLEGOONE_02002,CMJCGDBJ_01658,FDIPHMPI_01798,GAFMEKNJ_00565,JJCAEOCL_03931,FIMNDECN_01603,BOLFLKJN_03354,MONHGDDE_02914,HENDCIDF_03425,BGHDJHLL_03036,MLDDBGFK_01227,OBCFPDNM_03016,PDLMEAGH_00997,MIEBPKLG_00532,FAKIMOAG_00146,AAJLDHNL_03062,HFELHBKN_02244,FPIHAPOB_01422,PLNCNKBH_00539,IMMFCMMB_03174,BDMJLJKB_02133,MDDFFGJE_03167,ADGPNKPL_00531,MFAJDMJN_02859,HOGJFGMH_00549,BFJHMAPM_00888,JFGMPIEF_02310,DOHFHPBA_00274,OAICLECK_00688,HGGDPEND_00477,PGNFGNII_00274,PDCFMNHJ_00273
ydcU,ydcU,Inner membrane ABC transporter permease protein YdcU,39,39,1,1,6643,,,,945,945,945,COBAIANA_01078,NCDGGIKE_02056,KEJBGJNJ_03840,JELDIHCN_02491,PBHEHNGA_01856,DALMCLCA_02741,ONIJJAOC_00100,OLEGOONE_02000,CMJCGDBJ_01660,FDIPHMPI_01800,GAFMEKNJ_00563,JJCAEOCL_03933,FIMNDECN_01605,BOLFLKJN_03356,MONHGDDE_02916,HENDCIDF_03427,BGHDJHLL_03034,MLDDBGFK_01225,OBCFPDNM_03018,PDLMEAGH_00995,MIEBPKLG_00534,FAKIMOAG_00148,AAJLDHNL_03060,HFELHBKN_02242,FPIHAPOB_01420,PLNCNKBH_00541,IMMFCMMB_03176,BDMJLJKB_02131,MDDFFGJE_03165,ADGPNKPL_00533,MFAJDMJN_02861,HOGJFGMH_00547,BFJHMAPM_00890,JFGMPIEF_02308,DOHFHPBA_00272,OAICLECK_00686,HGGDPEND_00475,PGNFGNII_00272,PDCFMNHJ_00271
ydcV_1,ydcV_1,Inner membrane ABC transporter permease protein YdcV,39,39,1,1,6642,,,,807,807,807,COBAIANA_01077,NCDGGIKE_02055,KEJBGJNJ_03839,JELDIHCN_02492,PBHEHNGA_01855,DALMCLCA_02740,ONIJJAOC_00101,OLEGOONE_01999,CMJCGDBJ_01661,FDIPHMPI_01801,GAFMEKNJ_00562,JJCAEOCL_03934,FIMNDECN_01606,BOLFLKJN_03357,MONHGDDE_02917,HENDCIDF_03428,BGHDJHLL_03033,MLDDBGFK_01224,OBCFPDNM_03019,PDLMEAGH_00994,MIEBPKLG_00535,FAKIMOAG_00149,AAJLDHNL_03059,HFELHBKN_02241,FPIHAPOB_01419,PLNCNKBH_00542,IMMFCMMB_03177,BDMJLJKB_02130,MDDFFGJE_03164,ADGPNKPL_00534,MFAJDMJN_02862,HOGJFGMH_00546,BFJHMAPM_00891,JFGMPIEF_02307,DOHFHPBA_00271,OAICLECK_00685,HGGDPEND_00474,PGNFGNII_00271,PDCFMNHJ_00270
gsiC_1,gsiC_1,Glutathione transport system permease protein GsiC,39,39,1,1,6641,,,,915,915,915,COBAIANA_01047,NCDGGIKE_02024,KEJBGJNJ_03809,JELDIHCN_02522,PBHEHNGA_01825,DALMCLCA_02710,ONIJJAOC_00131,OLEGOONE_01969,CMJCGDBJ_01535,FDIPHMPI_01831,GAFMEKNJ_04304,JJCAEOCL_03612,FIMNDECN_01637,BOLFLKJN_03440,MONHGDDE_02947,HENDCIDF_03458,BGHDJHLL_03003,MLDDBGFK_01194,OBCFPDNM_03049,PDLMEAGH_00964,MIEBPKLG_00565,FAKIMOAG_00179,AAJLDHNL_03542,HFELHBKN_01584,FPIHAPOB_03083,PLNCNKBH_00745,IMMFCMMB_03207,BDMJLJKB_02100,MDDFFGJE_03134,ADGPNKPL_00564,MFAJDMJN_02892,HOGJFGMH_00516,BFJHMAPM_00921,JFGMPIEF_02277,DOHFHPBA_00240,OAICLECK_00655,HGGDPEND_00443,PGNFGNII_00240,PDCFMNHJ_00239
yddM_1,yddM_1,putative HTH-type transcriptional regulator YddM,39,39,1,1,6636,,,,288,288,288,COBAIANA_01038,NCDGGIKE_02014,KEJBGJNJ_03800,JELDIHCN_02531,PBHEHNGA_01816,DALMCLCA_02701,ONIJJAOC_00140,OLEGOONE_01960,CMJCGDBJ_01525,FDIPHMPI_01840,GAFMEKNJ_02604,JJCAEOCL_03621,FIMNDECN_01646,BOLFLKJN_03449,MONHGDDE_02956,HENDCIDF_03467,BGHDJHLL_02994,MLDDBGFK_01185,OBCFPDNM_03058,PDLMEAGH_00955,MIEBPKLG_00574,FAKIMOAG_00187,AAJLDHNL_03533,HFELHBKN_01593,FPIHAPOB_03092,PLNCNKBH_00754,IMMFCMMB_03216,BDMJLJKB_02091,MDDFFGJE_03125,ADGPNKPL_00573,MFAJDMJN_02901,HOGJFGMH_00508,BFJHMAPM_00930,JFGMPIEF_02268,DOHFHPBA_00231,OAICLECK_00646,HGGDPEND_00434,PGNFGNII_00231,PDCFMNHJ_00230
tauD_1,tauD_1,Alpha-ketoglutarate-dependent taurine dioxygenase,39,39,1,1,6633,,,,885,885,885,COBAIANA_01033,NCDGGIKE_02009,KEJBGJNJ_03795,JELDIHCN_02536,PBHEHNGA_01811,DALMCLCA_02647,ONIJJAOC_00145,OLEGOONE_01955,CMJCGDBJ_01519,FDIPHMPI_01846,GAFMEKNJ_02609,JJCAEOCL_03626,FIMNDECN_01653,BOLFLKJN_03454,MONHGDDE_02961,HENDCIDF_03472,BGHDJHLL_02989,MLDDBGFK_01180,OBCFPDNM_03063,PDLMEAGH_00950,MIEBPKLG_00579,FAKIMOAG_00192,AAJLDHNL_03528,HFELHBKN_01598,FPIHAPOB_03097,PLNCNKBH_00759,IMMFCMMB_03222,BDMJLJKB_02086,MDDFFGJE_03120,ADGPNKPL_00578,MFAJDMJN_02906,HOGJFGMH_00503,BFJHMAPM_00935,JFGMPIEF_02263,DOHFHPBA_00226,OAICLECK_00641,HGGDPEND_00429,PGNFGNII_00226,PDCFMNHJ_00225
group_3302,nfsB_1,Oxygen-insensitive NAD(P)H nitroreductase,39,39,1,1,6628,,,,645,645,645,COBAIANA_01028,NCDGGIKE_02004,KEJBGJNJ_03790,JELDIHCN_02541,PBHEHNGA_01806,DALMCLCA_03694,ONIJJAOC_00150,OLEGOONE_01950,CMJCGDBJ_01514,FDIPHMPI_01851,GAFMEKNJ_02614,JJCAEOCL_03631,FIMNDECN_01658,BOLFLKJN_02830,MONHGDDE_02966,HENDCIDF_03477,BGHDJHLL_02984,MLDDBGFK_01175,OBCFPDNM_03068,PDLMEAGH_00945,MIEBPKLG_00584,FAKIMOAG_00197,AAJLDHNL_03523,HFELHBKN_01603,FPIHAPOB_03102,PLNCNKBH_01254,IMMFCMMB_03227,BDMJLJKB_02081,MDDFFGJE_03115,ADGPNKPL_00583,MFAJDMJN_02911,HOGJFGMH_00498,BFJHMAPM_00940,JFGMPIEF_02258,DOHFHPBA_00221,OAICLECK_00636,HGGDPEND_00424,PGNFGNII_00221,PDCFMNHJ_00220
group_3298,,hypothetical protein,39,39,1,1,6622,,,,765,765,765,COBAIANA_01017,NCDGGIKE_01993,KEJBGJNJ_03779,JELDIHCN_02552,PBHEHNGA_01795,DALMCLCA_03683,ONIJJAOC_00161,OLEGOONE_01939,CMJCGDBJ_03992,FDIPHMPI_01862,GAFMEKNJ_02625,JJCAEOCL_03642,FIMNDECN_01669,BOLFLKJN_02819,MONHGDDE_02977,HENDCIDF_03488,BGHDJHLL_02973,MLDDBGFK_01164,OBCFPDNM_03079,PDLMEAGH_00934,MIEBPKLG_00595,FAKIMOAG_00208,AAJLDHNL_03512,HFELHBKN_01614,FPIHAPOB_01168,PLNCNKBH_00077,IMMFCMMB_03238,BDMJLJKB_02070,MDDFFGJE_03104,ADGPNKPL_00594,MFAJDMJN_02922,HOGJFGMH_00487,BFJHMAPM_00951,JFGMPIEF_02247,DOHFHPBA_00210,OAICLECK_00625,HGGDPEND_00413,PGNFGNII_00210,PDCFMNHJ_00209
group_3296,,hypothetical protein,39,39,1,1,6620,,,,198,198,198,COBAIANA_01016,NCDGGIKE_01992,KEJBGJNJ_03778,JELDIHCN_02553,PBHEHNGA_01794,DALMCLCA_03682,ONIJJAOC_00162,OLEGOONE_01938,CMJCGDBJ_03993,FDIPHMPI_01863,GAFMEKNJ_02626,JJCAEOCL_03643,FIMNDECN_01670,BOLFLKJN_02818,MONHGDDE_02978,HENDCIDF_03489,BGHDJHLL_02972,MLDDBGFK_01163,OBCFPDNM_03080,PDLMEAGH_00933,MIEBPKLG_00596,FAKIMOAG_00209,AAJLDHNL_03511,HFELHBKN_01615,FPIHAPOB_01167,PLNCNKBH_00078,IMMFCMMB_03239,BDMJLJKB_02069,MDDFFGJE_03103,ADGPNKPL_00595,MFAJDMJN_02923,HOGJFGMH_00486,BFJHMAPM_00952,JFGMPIEF_02246,DOHFHPBA_00209,OAICLECK_00624,HGGDPEND_00412,PGNFGNII_00209,PDCFMNHJ_00208
group_3291,,hypothetical protein,39,39,1,1,6615,,,,1302,1302,1302,COBAIANA_01008,NCDGGIKE_01978,KEJBGJNJ_03770,JELDIHCN_02561,PBHEHNGA_01786,DALMCLCA_03674,ONIJJAOC_00175,OLEGOONE_01930,CMJCGDBJ_00091,FDIPHMPI_01876,GAFMEKNJ_02639,JJCAEOCL_03510,FIMNDECN_01683,BOLFLKJN_02811,MONHGDDE_02986,HENDCIDF_03497,BGHDJHLL_02964,MLDDBGFK_01155,OBCFPDNM_03088,PDLMEAGH_00926,MIEBPKLG_00604,FAKIMOAG_00216,AAJLDHNL_03503,HFELHBKN_01623,FPIHAPOB_01063,PLNCNKBH_00085,IMMFCMMB_03246,BDMJLJKB_02061,MDDFFGJE_03095,ADGPNKPL_00603,MFAJDMJN_02931,HOGJFGMH_00479,BFJHMAPM_00960,JFGMPIEF_02233,DOHFHPBA_00201,OAICLECK_00616,HGGDPEND_00404,PGNFGNII_00201,PDCFMNHJ_00200
glsA2,glsA2,Glutaminase 2,39,39,1,1,6603,,,,933,933,933,COBAIANA_00979,NCDGGIKE_01947,KEJBGJNJ_01581,JELDIHCN_02592,PBHEHNGA_01756,DALMCLCA_03643,ONIJJAOC_00206,OLEGOONE_01901,CMJCGDBJ_02283,FDIPHMPI_01909,GAFMEKNJ_03694,JJCAEOCL_03541,FIMNDECN_01714,BOLFLKJN_02781,MONHGDDE_03017,HENDCIDF_03528,BGHDJHLL_02933,MLDDBGFK_01125,OBCFPDNM_03119,PDLMEAGH_03533,MIEBPKLG_03722,FAKIMOAG_00245,AAJLDHNL_03472,HFELHBKN_03127,FPIHAPOB_03503,PLNCNKBH_00115,IMMFCMMB_03276,BDMJLJKB_02031,MDDFFGJE_03829,ADGPNKPL_03780,MFAJDMJN_02962,HOGJFGMH_00450,BFJHMAPM_01994,JFGMPIEF_02202,DOHFHPBA_00170,OAICLECK_00586,HGGDPEND_00373,PGNFGNII_00170,PDCFMNHJ_00169
group_3278,,hypothetical protein,39,39,1,1,6594,,,,822,822,822,COBAIANA_00922,NCDGGIKE_01891,KEJBGJNJ_01502,JELDIHCN_02671,PBHEHNGA_01676,DALMCLCA_04305,ONIJJAOC_00262,OLEGOONE_02290,CMJCGDBJ_00875,FDIPHMPI_01962,GAFMEKNJ_02749,JJCAEOCL_01966,FIMNDECN_01274,BOLFLKJN_03785,MONHGDDE_03096,HENDCIDF_01504,BGHDJHLL_02854,MLDDBGFK_01046,OBCFPDNM_03198,PDLMEAGH_02657,MIEBPKLG_01616,FAKIMOAG_00300,AAJLDHNL_04055,HFELHBKN_03868,FPIHAPOB_00855,PLNCNKBH_01673,IMMFCMMB_03356,BDMJLJKB_01952,MDDFFGJE_02074,ADGPNKPL_02593,MFAJDMJN_03041,HOGJFGMH_00395,BFJHMAPM_02073,JFGMPIEF_02146,DOHFHPBA_00091,OAICLECK_00506,HGGDPEND_00294,PGNFGNII_00091,PDCFMNHJ_00090
group_3273,,hypothetical protein,39,39,1,1,6577,,,,3906,3906,3906,COBAIANA_00830,NCDGGIKE_01854,KEJBGJNJ_01466,JELDIHCN_02707,PBHEHNGA_01589,DALMCLCA_04341,ONIJJAOC_00300,OLEGOONE_02381,CMJCGDBJ_02114,FDIPHMPI_01997,GAFMEKNJ_02192,JJCAEOCL_02001,FIMNDECN_01362,BOLFLKJN_00031,MONHGDDE_03132,HENDCIDF_01468,BGHDJHLL_02818,MLDDBGFK_01010,OBCFPDNM_03234,PDLMEAGH_03610,MIEBPKLG_01580,FAKIMOAG_00340,AAJLDHNL_04304,HFELHBKN_02496,FPIHAPOB_02393,PLNCNKBH_03022,IMMFCMMB_03392,BDMJLJKB_01916,MDDFFGJE_02038,ADGPNKPL_02557,MFAJDMJN_03077,HOGJFGMH_00355,BFJHMAPM_02109,JFGMPIEF_02108,DOHFHPBA_00055,OAICLECK_00470,HGGDPEND_00258,PGNFGNII_00055,PDCFMNHJ_00054
azoR_1,azoR_1,FMN-dependent NADH-azoreductase,39,39,1,1,6576,,,,606,606,606,COBAIANA_00829,NCDGGIKE_01853,KEJBGJNJ_01465,JELDIHCN_02708,PBHEHNGA_01588,DALMCLCA_04342,ONIJJAOC_00301,OLEGOONE_02382,CMJCGDBJ_02115,FDIPHMPI_01998,GAFMEKNJ_02193,JJCAEOCL_02002,FIMNDECN_01363,BOLFLKJN_00032,MONHGDDE_03133,HENDCIDF_01467,BGHDJHLL_02817,MLDDBGFK_01009,OBCFPDNM_03235,PDLMEAGH_03611,MIEBPKLG_01579,FAKIMOAG_00341,AAJLDHNL_04303,HFELHBKN_02495,FPIHAPOB_02392,PLNCNKBH_03021,IMMFCMMB_03393,BDMJLJKB_01915,MDDFFGJE_02037,ADGPNKPL_02556,MFAJDMJN_03078,HOGJFGMH_00354,BFJHMAPM_02110,JFGMPIEF_02107,DOHFHPBA_00054,OAICLECK_00469,HGGDPEND_00257,PGNFGNII_00054,PDCFMNHJ_00053
group_3272,,hypothetical protein,39,39,1,1,6575,,,,321,321,321,COBAIANA_00827,NCDGGIKE_01851,KEJBGJNJ_01463,JELDIHCN_02710,PBHEHNGA_01586,DALMCLCA_04344,ONIJJAOC_00303,OLEGOONE_02384,CMJCGDBJ_02117,FDIPHMPI_02000,GAFMEKNJ_02195,JJCAEOCL_02004,FIMNDECN_01365,BOLFLKJN_00034,MONHGDDE_03135,HENDCIDF_01465,BGHDJHLL_02815,MLDDBGFK_01007,OBCFPDNM_03237,PDLMEAGH_03613,MIEBPKLG_01577,FAKIMOAG_00343,AAJLDHNL_04301,HFELHBKN_02493,FPIHAPOB_02390,PLNCNKBH_03019,IMMFCMMB_03395,BDMJLJKB_01913,MDDFFGJE_02035,ADGPNKPL_02554,MFAJDMJN_03080,HOGJFGMH_00352,BFJHMAPM_02112,JFGMPIEF_02105,DOHFHPBA_00052,OAICLECK_00467,HGGDPEND_00255,PGNFGNII_00052,PDCFMNHJ_00051
ldhA_1,ldhA_1,D-lactate dehydrogenase,39,39,1,1,6574,,,,990,990,990,COBAIANA_00824,NCDGGIKE_01848,KEJBGJNJ_01460,JELDIHCN_02713,PBHEHNGA_01583,DALMCLCA_04347,ONIJJAOC_00306,OLEGOONE_02387,CMJCGDBJ_02120,FDIPHMPI_02003,GAFMEKNJ_02198,JJCAEOCL_02007,FIMNDECN_01368,BOLFLKJN_00038,MONHGDDE_03138,HENDCIDF_01462,BGHDJHLL_02812,MLDDBGFK_01004,OBCFPDNM_03240,PDLMEAGH_03616,MIEBPKLG_01574,FAKIMOAG_00346,AAJLDHNL_04298,HFELHBKN_02490,FPIHAPOB_02387,PLNCNKBH_03016,IMMFCMMB_03398,BDMJLJKB_01910,MDDFFGJE_02032,ADGPNKPL_02551,MFAJDMJN_03083,HOGJFGMH_00349,BFJHMAPM_02115,JFGMPIEF_02102,DOHFHPBA_00049,OAICLECK_00464,HGGDPEND_00252,PGNFGNII_00049,PDCFMNHJ_00048
nifJ_1,nifJ_1,Pyruvate-flavodoxin oxidoreductase,39,39,1,1,6573,,,,3522,3522,3522,COBAIANA_00821,NCDGGIKE_01845,KEJBGJNJ_01457,JELDIHCN_02716,PBHEHNGA_01580,DALMCLCA_04350,ONIJJAOC_00309,OLEGOONE_02390,CMJCGDBJ_02123,FDIPHMPI_02006,GAFMEKNJ_02201,JJCAEOCL_02010,FIMNDECN_01371,BOLFLKJN_00041,MONHGDDE_03141,HENDCIDF_01459,BGHDJHLL_02809,MLDDBGFK_01001,OBCFPDNM_03243,PDLMEAGH_03619,MIEBPKLG_01571,FAKIMOAG_00349,AAJLDHNL_04295,HFELHBKN_02487,FPIHAPOB_02384,PLNCNKBH_03013,IMMFCMMB_03401,BDMJLJKB_01907,MDDFFGJE_02029,ADGPNKPL_02548,MFAJDMJN_03086,HOGJFGMH_00346,BFJHMAPM_02118,JFGMPIEF_02099,DOHFHPBA_00046,OAICLECK_00461,HGGDPEND_00249,PGNFGNII_00046,PDCFMNHJ_00045
