Sample,ST,Genetic_architecture,Orientation,IS_elements,Intergenic_distances_overlaps,,,,,,,,,,,,
CFSAN145334,ST148,wbuC – mcr-9.1 – IS903B,wbuC(-); mcr-9.1(-); IS903B(-),IS903B,wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CH43,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
CH44,ST1,IS26 – IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS26(+); IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS481; IS903B,IS26–IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CH45,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
CH65,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
CH84,ST1,IS26 – IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS26(+); IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS481; IS903B,IS26–IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CRZK,ST256,mcr-9.1 – wbuC,mcr-9.1(+); wbuC(+),None,mcr-9.1–wbuC: 75 bp,,,,,,,,,,,,
CS-42,ST21,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS903B; IS481,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
CS291,ST4,IS481 – qseB – qseC – wbuC – mcr-9.1,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-),IS481,IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp,,,,,,,,,,,,
CS6162,ST4, IS481 – qseB – qseC – wbuC – mcr-9.1,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-), IS481,IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp,,,,,,,,,,,,
HA18074,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
KubGAU B-268,ST1,IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS481; IS903B,IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
MOD1_LR736,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS903B; IS481,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
MOD1_WNTSBCO4,ST1,IS903B – mcr-9.1 – wbuC,IS903B(+); mcr-9.1(+); wbuC(+),IS903B,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp,,,,,,,,,,,,
S053-001,ST1,WbuC – mcr-9.1 – IS903B,wbuC(-); mcr-9.1(-); IS903B(-),IS903B,wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
S054-001,ST1,IS26 – wbuC – mcr-9.1 – IS903B,IS26(-); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS903B,IS26–wbuC: 164 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
S071-004,ST148,wbuC – mcr-9.1 – IS903B,wbuC(-); mcr-9.1(-); IS903B(-),IS903B,wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
SC16,ST4,IS481 – qseB – qseC – wbuC – mcr-9.1,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-),IS481,IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp,,,,,,,,,,,,
bq,ST13,mcr-9.1 – wbuC – IS26,mcr-9.1(+); wbuC(+); IS26(+),IS26,mcr-9.1–WbuC: 75 bp; wbuC–IS26: 993 bp,,,,,,,,,,,,
cro1489B1,ST8,wbuC – mcr-9.1,wbuC(-); mcr-9.1(-),None,wbuC–mcr-9.1: 75 bp,,,,,,,,,,,,
cro810A3,ST1,IS481 – qseB – qseC – wbuC – mcr-9.1,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-),IS481,IS481–qseB: 193 bp; qseB–qseC: overlap 25 bp; qseC–wbuC: 212 bp; wbuC–mcr-9.1: 76 bp,,,,,,,,,,,,
